Year,Count
2024,11
2023,10106
2022,13945
2021,14593
2020,14288
2019,13116
2018,11794
2017,10892
2016,10212
2015,9566
2014,9323
2013,8549
2012,8342
2011,7724
2010,6871
2009,6464
2008,6909
2007,6763
2006,6228
2005,5817
2004,5164
2003,4902
2002,4512
2001,4244
2000,3856
1999,3365
1998,3333
1997,2916
1996,2585
1995,2534
1994,2254
1993,2102
1992,2103
1991,1933
1990,1845
1989,1782
1988,1625
1987,1554
1986,1687
1985,1740
1984,1653
1983,1526
1982,1470
1981,1234
1980,1222
1979,1353
1978,1216
1977,1280
1976,1224
1975,1258
1974,1538
1973,1412
1972,1382
1971,1389
1970,1281
1969,1263
1968,1208
1967,1011
1966,724
1965,727
1964,927
1963,615
1962,197
1961,39
1960,28
1959,26
1958,27
1957,24
1956,70
1955,123
1954,128
1953,176
1952,28
1951,24
1950,10
1949,16
1948,30
1947,16
1946,8
1945,5
